Time;cpu
2016-09-07 07:02:48.216;0.74
2016-09-07 07:03:18.221;0.87
2016-09-07 07:03:48.208;0.68
2016-09-07 07:04:18.225;0.7
2016-09-07 07:04:48.210;1.01
2016-09-07 07:05:18.231;1.46
2016-09-07 07:05:48.211;1.67
2016-09-07 07:06:18.232;1.57
2016-09-07 07:06:48.213;1.64
2016-09-07 07:07:18.229;1.73
2016-09-07 07:07:48.215;1.3
2016-09-07 07:08:18.239;1.03
2016-09-07 07:08:48.217;1.06
2016-09-07 07:09:18.239;1.12
2016-09-07 07:09:48.218;0.85
2016-09-07 07:10:18.239;0.99
2016-09-07 07:10:48.220;0.85
2016-09-07 07:11:18.235;0.96
2016-09-07 07:11:48.221;0.7
2016-09-07 07:12:18.233;0.54
2016-09-07 07:12:48.222;0.33
2016-09-07 07:13:18.238;0.31
2016-09-07 07:13:48.224;0.47
2016-09-07 07:14:18.241;0.37
2016-09-07 07:14:48.225;0.94
2016-09-07 07:15:18.251;1.29
2016-09-07 07:15:48.228;1.83
2016-09-07 07:16:18.249;1.89
2016-09-07 07:16:48.229;1.94
2016-09-07 07:17:18.254;2.1
2016-09-07 07:17:48.229;2.06
2016-09-07 07:18:18.255;1.79
2016-09-07 07:18:48.232;1.87
2016-09-07 07:19:18.251;1.82
2016-09-07 07:19:48.233;1.97
2016-09-07 07:20:18.262;1.7
2016-09-07 07:20:48.233;1.28
2016-09-07 07:21:18.248;0.99
2016-09-07 07:21:48.237;0.81
2016-09-07 07:22:18.270;1.0
2016-09-07 07:22:48.248;0.83
2016-09-07 07:23:18.240;0.77
2016-09-07 07:23:48.262;0.72
2016-09-07 07:24:18.241;0.92
2016-09-07 07:24:48.268;0.86
2016-09-07 07:25:18.243;0.96
2016-09-07 07:25:48.268;1.22
2016-09-07 07:26:18.244;1.37
2016-09-07 07:26:48.265;1.62
2016-09-07 07:27:18.244;1.67
2016-09-07 07:27:48.270;1.61
2016-09-07 07:28:18.246;1.77
2016-09-07 07:28:48.268;1.58
2016-09-07 07:29:18.249;1.63
2016-09-07 07:29:48.268;1.61
2016-09-07 07:30:18.248;1.35
2016-09-07 07:30:48.268;1.25
2016-09-07 07:31:18.251;0.86
2016-09-07 07:31:48.266;0.95
2016-09-07 07:32:18.253;0.84
2016-09-07 07:32:48.275;0.58
2016-09-07 07:33:18.253;0.76
2016-09-07 07:33:48.281;0.6
2016-09-07 07:34:18.256;0.5
2016-09-07 07:34:48.271;0.41
2016-09-07 07:35:18.257;0.56
2016-09-07 07:35:48.286;1.16
2016-09-07 07:36:18.258;1.24
2016-09-07 07:36:48.280;1.54
2016-09-07 07:37:18.261;1.72
2016-09-07 07:37:48.282;1.83
2016-09-07 07:38:18.262;1.71
2016-09-07 07:38:48.294;1.83
2016-09-07 07:39:18.264;1.5
2016-09-07 07:39:48.287;1.42
2016-09-07 07:40:18.266;1.49
2016-09-07 07:40:48.302;1.22
2016-09-07 07:41:18.266;1.04
2016-09-07 07:41:48.293;0.93
2016-09-07 07:42:18.268;1.02
2016-09-07 07:42:48.291;0.8
2016-09-07 07:43:18.270;0.48
2016-09-07 07:43:48.293;0.65
2016-09-07 07:44:18.271;0.45
2016-09-07 07:44:48.290;0.57
2016-09-07 07:45:18.273;0.81
2016-09-07 07:45:48.296;1.11
2016-09-07 07:46:18.274;1.09
2016-09-07 07:46:48.293;1.59
2016-09-07 07:47:18.275;1.86
2016-09-07 07:47:48.294;1.91
2016-09-07 07:48:18.287;2.19
2016-09-07 07:48:48.276;1.96
2016-09-07 07:49:18.292;1.97
2016-09-07 07:49:48.278;1.55
2016-09-07 07:50:18.292;1.62
2016-09-07 07:50:48.279;1.57
2016-09-07 07:51:18.298;1.27
2016-09-07 07:51:48.280;0.91
2016-09-07 07:52:18.288;0.55
2016-09-07 07:52:48.284;0.48
2016-09-07 07:53:18.302;0.58
2016-09-07 07:53:48.284;0.52
2016-09-07 07:54:18.302;0.45
2016-09-07 07:54:48.286;0.64
2016-09-07 07:55:18.314;0.51
2016-09-07 07:55:48.289;0.39
2016-09-07 07:56:18.311;0.4
2016-09-07 07:56:48.290;0.71
2016-09-07 07:57:18.314;1.33
2016-09-07 07:57:48.301;1.47
2016-09-07 07:58:18.292;1.25
2016-09-07 07:58:48.321;1.42
2016-09-07 07:59:18.292;1.53
2016-09-07 07:59:48.316;1.72
2016-09-07 08:00:18.294;1.47
2016-09-07 08:00:48.316;1.68
2016-09-07 08:01:18.295;1.94
2016-09-07 08:01:48.314;1.45
2016-09-07 08:02:18.296;1.16
2016-09-07 08:02:48.318;0.96
2016-09-07 08:03:18.299;0.58
2016-09-07 08:03:48.322;0.78
2016-09-07 08:04:18.298;0.98
2016-09-07 08:04:48.313;0.59
2016-09-07 08:05:18.300;0.51
2016-09-07 08:05:48.314;0.49
2016-09-07 08:06:18.301;0.52
2016-09-07 08:06:48.319;1.71
2016-09-07 08:07:18.302;1.48
2016-09-07 08:07:48.320;1.69
2016-09-07 08:08:18.304;1.81
2016-09-07 08:08:48.320;1.88
2016-09-07 08:09:18.304;1.85
2016-09-07 08:09:48.322;1.86
2016-09-07 08:10:18.304;1.78
2016-09-07 08:10:48.306;1.71
2016-09-07 08:11:18.321;1.82
2016-09-07 08:11:48.307;1.97
2016-09-07 08:12:18.313;1.63
2016-09-07 08:12:48.309;1.6
2016-09-07 08:13:18.324;0.97
2016-09-07 08:13:48.310;0.64
2016-09-07 08:14:18.329;0.72
2016-09-07 08:14:48.311;0.55
2016-09-07 08:15:18.322;0.33
2016-09-07 08:15:48.313;0.76
2016-09-07 08:16:18.334;0.69
2016-09-07 08:16:48.315;0.42
2016-09-07 08:17:18.334;0.83
2016-09-07 08:17:48.316;1.21
2016-09-07 08:18:18.332;1.52
2016-09-07 08:18:48.318;1.71
2016-09-07 08:19:18.342;1.7
2016-09-07 08:19:48.318;1.56
2016-09-07 08:20:18.337;1.77
2016-09-07 08:20:48.320;1.71
2016-09-07 08:21:18.331;1.72
2016-09-07 08:21:48.322;1.59
2016-09-07 08:22:18.344;1.68
2016-09-07 08:22:48.322;1.13
2016-09-07 08:23:18.347;1.87
2016-09-07 08:23:48.325;1.48
2016-09-07 08:24:18.338;1.0
2016-09-07 08:24:48.326;0.61
2016-09-07 08:25:18.350;0.62
2016-09-07 08:25:48.327;0.61
2016-09-07 08:26:18.345;0.49
2016-09-07 08:26:48.332;0.47
2016-09-07 08:27:18.344;0.48
2016-09-07 08:27:48.332;0.98
2016-09-07 08:28:18.358;1.38
2016-09-07 08:28:48.333;1.39
2016-09-07 08:29:18.355;1.69
2016-09-07 08:29:48.336;1.65
2016-09-07 08:30:18.356;1.87
2016-09-07 08:30:48.347;1.8
2016-09-07 08:31:18.352;2.22
2016-09-07 08:31:48.338;1.9
2016-09-07 08:32:18.353;1.73
2016-09-07 08:32:48.339;1.61
2016-09-07 08:33:18.372;1.39
2016-09-07 08:33:48.341;1.11
2016-09-07 08:34:18.365;0.89
2016-09-07 08:34:48.343;0.76
2016-09-07 08:35:18.378;0.46
2016-09-07 08:35:48.352;0.5
2016-09-07 08:36:18.355;0.44
2016-09-07 08:36:48.345;0.39
2016-09-07 08:37:18.362;0.5
2016-09-07 08:37:48.352;0.45
2016-09-07 08:38:18.362;0.9
2016-09-07 08:38:48.348;1.28
2016-09-07 08:39:18.374;1.5
2016-09-07 08:39:48.349;1.39
2016-09-07 08:40:18.374;1.63
2016-09-07 08:40:48.352;1.64
2016-09-07 08:41:18.365;1.78
2016-09-07 08:41:48.352;1.57
2016-09-07 08:42:18.370;1.56
2016-09-07 08:42:48.354;1.64
2016-09-07 08:43:18.371;1.72
2016-09-07 08:43:48.355;1.56
2016-09-07 08:44:18.372;0.94
2016-09-07 08:44:48.356;0.84
2016-09-07 08:45:18.381;0.61
2016-09-07 08:45:48.367;0.53
2016-09-07 08:46:18.370;0.32
2016-09-07 08:46:48.360;0.8
2016-09-07 08:47:18.381;0.49
2016-09-07 08:47:48.368;0.35
2016-09-07 08:48:18.372;0.39
2016-09-07 08:48:48.361;1.03
2016-09-07 08:49:18.379;1.47
2016-09-07 08:49:48.365;1.66
2016-09-07 08:50:18.380;1.74
2016-09-07 08:50:48.365;1.56
2016-09-07 08:51:18.384;1.79
2016-09-07 08:51:48.376;1.79
2016-09-07 08:52:18.372;1.71
2016-09-07 08:52:48.367;1.66
2016-09-07 08:53:18.391;1.4
2016-09-07 08:53:48.378;1.13
2016-09-07 08:54:18.388;1.35
2016-09-07 08:54:48.370;1.51
2016-09-07 08:55:18.393;1.02
